archive_name,archive_path,utc,mjd,dm,tau_s,tau_error_s,alpha,alpha_error,tau0_s,tau0_error_s,decorrelation_bandwidth_mhz,diffractive_timescale_s,refractive_timescale_days
J0139+5814_2019-02-05_14:01:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-02-05_14:01:00.lane0b.00.nop,2019-02-05T14:01:04.977911+00:00,58519.5840854,73.7789993286,0.0140741182782,0.000428097503946,-2.07037280749,0.315967319164,0.0123476118257,0.000411695150248,0.638475375113,120.372926109,0.42732828857
J0139+5814_2019-03-05_13:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-03-05_13:31:00.lane0b.00.nop,2019-03-05T13:31:04.932300+00:00,58547.5632515,73.7789993286,0.0138883235057,0.000438108193466,-2.57494482422,0.258556603801,0.0131713235343,0.000354245176882,0.661590869913,131.086571544,0.449102713835
J0139+5814_2019-04-23_09:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-04-23_09:31:00.lane0b.00.nop,2019-04-23T09:31:04.804290+00:00,58596.3965834,73.7789993286,0.0125643124142,0.000390841738882,-3.23383847135,0.210887517716,0.0134981271317,0.000349114456669,0.730287707839,131.357015529,0.40769582073
J0139+5814_2019-05-15_09:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-05-15_09:31:00.lane0b.00.nop,2019-05-15T09:31:04.770760+00:00,58618.396583,73.7789993286,0.0130337538686,0.000506087772609,-4.46880182155,0.22964922527,0.0135900445281,0.000362755761091,0.784327192429,135.553735734,0.391733936101
J0139+5814_2019-06-26_06:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-06-26_06:31:00.lane0b.00.nop,2019-06-26T06:31:04.901820+00:00,58660.2715845,73.7789993286,0.0127522898349,0.000527219946143,-4.02529963246,0.212518521203,0.01185546017,0.000298894755315,0.748733070073,134.880601794,0.408318875922
J0139+5814_2019-08-07_03:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-08-07_03:31:00.lane0b.00.nop,2019-08-07T03:31:05.013157+00:00,58702.1465858,73.7789993286,0.0117175078049,0.000436795275171,-4.21419529873,0.198544885712,0.0110021922634,0.000253349020984,0.87919879861,842.340448494,2.17158857107
J0139+5814_2019-10-22_21:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-10-22_21:31:00.lane0b.00.nop,2019-10-22T21:31:04.953943+00:00,58778.8965851,73.7789993286,0.0129943285319,0.000507352634858,-6.51207398244,0.285853423439,0.0104934315297,0.000332881174431,0.816354925241,149.620247398,0.415420887169
J0139+5814_2019-11-12_22:31:00.lane0b.00.nop,/home/piyushmarmat/old/Data/J0139+5814/J0139+5814_2019-11-12_22:31:00.lane0b.00.nop,2019-11-12T22:31:04.950860+00:00,58799.9382517,73.7789993286,0.0121370979022,0.00041723048518,-1.8965531795,0.45966124119,0.00798761630224,0.000381665648712,0.852630049325,533.958274274,1.41946165127
